pc vector number	1	2	3	4	5	6
sample1	-0.260872008767	0.41705393403	-0.0105802941045	0.00300373389642	0.0558898867791	6.58042691089e-09
sample2	-0.345568209077	-0.014803783465	0.0213538809629	-0.00206528980099	-0.183450830514	6.58042691089e-09
sample3	-0.305072832841	-0.194448814735	-0.265532139606	0.00288143007599	0.0583832622192	6.58042691089e-09
sample4	-0.310195902233	-0.186005496314	0.251924653658	-0.00135536828275	0.0795251916183	6.58042691089e-09
sample5	0.606009547883	-0.00851122090931	-0.00140797091307	-0.211138587845	-0.00369702593781	6.58042691089e-09
sample6	0.615699405035	-0.0132846186073	0.00424187000324	0.208674081956	-0.00665048416482	6.58042691089e-09


eigvals	1.12309585267	0.246810444079	0.134561254983	0.0881478032588	0.0465686450101	-2.59812109977e-16
% variation explained	68.5155450925	15.0569090522	8.20903906963	5.37754170727	2.84096507836	1.58500882132e-14
