pc vector number	1	2	3	4	5	6
sample1	-0.264621989376	0.406219566021	-0.00948884903055	0.00438934020072	-0.0582769357972	5.04324120221e-09
sample2	-0.34474257133	-0.00467879510147	0.00538979430277	-0.00391936913736	0.177972552024	5.04324120221e-09
sample3	-0.30999338956	-0.181897828546	0.248785233968	0.00757326446044	-0.0672059296468	5.04324120221e-09
sample4	-0.309078104628	-0.199772929491	-0.245702990134	-0.0050599247088	-0.0620637728902	5.04324120221e-09
sample5	0.608018093025	-0.00619360558748	0.00833483366223	-0.197178870936	0.00181661680434	5.04324120221e-09
sample6	0.62041796187	-0.0136764072948	-0.00731802276884	0.194195560122	0.00775746950543	5.04324120221e-09


eigvals	1.13510186294	0.238257675196	0.122506163049	0.0767090076492	0.0435024578348	1.52605690942e-16
% variation explained	70.2380979294	14.7429640187	7.58046494164	4.74661787391	2.69185523638	9.44297055176e-15
