pc vector number	1	2	3	4	5	6
sample1	-0.259498405754	0.41733286673	-0.0174726921443	0.00505294526233	0.0603402452583	7.58039793134e-09
sample2	-0.346060061119	-8.34743451092e-05	0.0042198876832	-0.00361535807114	-0.178083685004	7.58039793134e-09
sample3	-0.305122960771	-0.216330151014	-0.251252331544	-0.00285550712009	0.0621056080014	7.58039793134e-09
sample4	-0.308729701272	-0.179466363384	0.262334933309	0.00511256851243	0.0663108114012	7.58039793134e-09
sample5	0.602384637549	-0.00624426021729	0.00581507166922	-0.208096410319	-0.0025967825135	7.58039793134e-09
sample6	0.617026491366	-0.01520861777	-0.00364486897266	0.204401761736	-0.0080761971438	7.58039793134e-09


eigvals	1.11909998073	0.253443931285	0.132317553892	0.085157091536	0.0436809425559	3.44774596784e-16
% variation explained	68.5009685521	15.513497512	8.09925900644	5.21253091747	2.67374401204	2.11039176289e-14
