pc vector number	1	2	3	4	5	6
sample1	-0.257906705747	0.417371210604	-0.00539232616456	-0.010497016714	-0.051598075259	5.54403218144e-09
sample2	-0.348280657451	0.00263398305753	0.00989120405222	0.0123416413172	0.150667567754	5.54403218144e-09
sample3	-0.311740525427	-0.195960724228	0.243144655063	-0.00737419138238	-0.0580381449674	5.54403218144e-09
sample4	-0.310765554721	-0.20021971463	-0.248684954503	0.00172143723228	-0.0499254926781	5.54403218144e-09
sample5	0.607769433814	-0.00328948759632	0.00586267378682	0.19288543167	-0.00277899035862	5.54403218144e-09
sample6	0.620924009531	-0.0205352672078	-0.00482125223385	-0.189077302123	0.0116731355091	5.54403218144e-09


eigvals	1.13650298071	0.253126722803	0.121148058398	0.0732748614433	0.0313680433138	1.84417756973e-16
% variation explained	70.3533763162	15.6693998056	7.49947434113	4.53596162011	1.94178791698	1.14160825585e-14
