pc vector number	1	2	3	4	5	6
sample1	-0.260758469248	0.411021486338	-0.0293133488903	0.0101490992759	-0.059527758793	3.42770225168e-09
sample2	-0.345525338685	0.00938088198512	0.0236059371233	-0.0112864184488	0.168438182805	3.42770225168e-09
sample3	-0.30437574075	-0.224093892807	-0.24715083274	0.00232915059131	-0.0476674117046	3.42770225168e-09
sample4	-0.313920785318	-0.175481973004	0.247839358411	0.00318907855526	-0.0707703241833	3.42770225168e-09
sample5	0.604221833717	-0.0026263478604	0.00158365944328	-0.196726488914	-0.0025943711097	3.42770225168e-09
sample6	0.620358500284	-0.0182001546514	0.00343522665277	0.192345578941	0.0121216829854	3.42770225168e-09


eigvals	1.12850228318	0.250376802154	0.123938703152	0.0759441158006	0.0393492623771	-7.0494856357e-17
% variation explained	69.7419501472	15.4733993134	7.65946776124	4.69338061346	2.43180216463	4.35661392179e-15
