pc vector number	1	2	3	4	5	6
sample1	-0.260127782254	0.414486909949	-0.0179419499642	0.00765781579072	0.0656668731178	1.02931872851e-09
sample2	-0.345668136904	0.0140177134946	-0.0196376510245	-0.00663481165761	-0.174593643439	1.02931872851e-09
sample3	-0.305181658306	-0.234168053315	-0.233320377954	0.000922324494357	0.0686084373684	1.02931872851e-09
sample4	-0.308935344378	-0.173938449249	0.269765797846	0.00205946947274	0.0509927836729	1.02931872851e-09
sample5	0.602503381582	-0.00399180293262	0.00137354816038	-0.207222243105	-0.000827591798697	1.02931872851e-09
sample6	0.617409540261	-0.0164063179471	-0.00023936706428	0.203217445005	-0.00984685892094	1.02931872851e-09


eigvals	1.11993468077	0.25737025789	0.127921479294	0.084346142957	0.0422001057581	6.35698226914e-18
% variation explained	68.6330089752	15.7724334491	7.83941794753	5.16898859014	2.58615103808	3.89575239186e-16
