pc vector number	1	2	3	4	5	6
sample1	-0.258500748528	0.414595925418	-0.0156540831073	0.00587210237729	-0.0556920576771	6.96276830681e-09
sample2	-0.345976984279	0.00262444812084	0.0231867290898	-0.00276700256306	0.162528397932	6.96276830681e-09
sample3	-0.310250618798	-0.188847692404	0.241134208065	0.0114508128112	-0.0687458901904	6.96276830681e-09
sample4	-0.306815283201	-0.206060559689	-0.251624573594	-0.0102680175478	-0.0476510762692	6.96276830681e-09
sample5	0.602028099016	-0.00522770559908	0.0141300494458	-0.206964483676	0.00210685639638	6.96276830681e-09
sample6	0.61951553579	-0.0170844158465	-0.0111723298997	0.202676588598	0.00745376980854	6.96276830681e-09


eigvals	1.1231511062	0.250340280458	0.122567786312	0.0841907882568	0.0365737054385	2.90880854966e-16
% variation explained	69.4665181712	15.4834621498	7.58077636042	5.20717193795	2.2620713806	1.79908830482e-14
