pc vector number	1	2	3	4	5	6
sample1	-0.265297182089	0.407637390555	-0.00951729014976	0.00675760917551	-0.0579473133597	1.75630625165e-09
sample2	-0.347591608002	0.00207676433167	-0.0141122419382	-0.0072079241184	0.166492113254	1.75630625165e-09
sample3	-0.306165413038	-0.179463434525	0.273363910495	0.00437788567094	-0.0530511794322	1.75630625165e-09
sample4	-0.306633734543	-0.212177308163	-0.2494401578	-0.000807266775157	-0.0654851455939	1.75630625165e-09
sample5	0.607047811165	-0.00359185772194	0.00348360238181	-0.199315481811	0.000478503460085	1.75630625165e-09
sample6	0.618640126508	-0.014481554477	-0.00377782298832	0.196195177858	0.00951302167125	1.75630625165e-09


eigvals	1.13018667924	0.243621506421	0.137264361501	0.0783366461188	0.038270973381	1.85076698975e-17
% variation explained	69.4354273272	14.9674064605	8.43312859074	4.81277880772	2.35125881391	1.13705814425e-15
