pc vector number	1	2	3	4	5	6
sample1	-0.262492653646	0.408115986804	0.000290323934487	0.00516561889523	-0.0549581878536	6.13998609043e-09
sample2	-0.345925602954	-0.00143926855773	-0.000840005073466	-0.00431585634587	0.164122299089	6.13998609043e-09
sample3	-0.310715326766	-0.192725984917	-0.240184407183	0.00121287694747	-0.0595165143633	6.13998609043e-09
sample4	-0.310586208016	-0.192721607248	0.240814915234	0.0011705907959	-0.0587206780492	6.13998609043e-09
sample5	0.608243106064	-0.00630100583922	-5.10424052291e-05	-0.19743546408	0.00160573719604	6.13998609043e-09
sample6	0.621476685318	-0.0149281202426	-2.9784506353e-05	0.194202233788	0.00746734398143	6.13998609043e-09


eigvals	1.13776766936	0.24110820479	0.115681166242	0.0767434216725	0.0370052046009	2.26196575144e-16
% variation explained	70.7432481861	14.9914416014	7.19273510251	4.77169379323	2.30088131677	1.4064277695e-14
