0-0-0-0-0-10 0 0 0 0 0 124
0-0-0-0-0-11 0 0 0 0 0 83
0-0-0-0-0-12 0 0 0 0 0 84
0-0-0-0-0-13 0 0 0 0 0 72
0-0-0-0-0-14 0 0 0 0 0 22
0-0-0-0-0-15 0 0 0 0 0 3
0-0-0-0-0-16 0 0 0 0 0 12
0-0-0-0-0-3 0 0 0 0 0 4
0-0-0-0-0-4 0 0 0 0 0 19
0-0-0-0-0-5 0 0 0 0 0 46
0-0-0-0-0-6 0 0 0 0 0 54
0-0-0-0-0-7 0 0 0 0 0 124
0-0-0-0-0-8 0 0 0 0 0 150
0-0-0-0-0-9 0 0 0 0 0 203
0-0-0-0-10-10 0 0 0 0 372 372
0-0-0-0-11-11 0 0 0 0 249 249
0-0-0-0-12-12 0 0 0 0 252 252
0-0-0-0-13-13 0 0 0 0 216 216
0-0-0-0-14-14 0 0 0 0 66 66
0-0-0-0-15-15 0 0 0 0 9 9
0-0-0-0-16-16 0 0 0 0 36 36
0-0-0-0-3-3 0 0 0 0 12 12
0-0-0-0-4-4 0 0 0 0 57 57
0-0-0-0-5-5 0 0 0 0 138 138
0-0-0-0-6-6 0 0 0 0 162 162
0-0-0-0-7-7 0 0 0 0 372 372
0-0-0-0-8-8 0 0 0 0 450 450
0-0-0-0-9-9 0 0 0 0 609 609
0-0-0-10-0-0 0 0 0 124 0 0
0-0-0-11-0-0 0 0 0 83 0 0
0-0-0-12-0-0 0 0 0 84 0 0
0-0-0-13-0-0 0 0 0 72 0 0
0-0-0-14-0-0 0 0 0 22 0 0
0-0-0-15-0-0 0 0 0 3 0 0
0-0-0-16-0-0 0 0 0 12 0 0
0-0-0-3-0-0 0 0 0 4 0 0
0-0-0-4-0-0 0 0 0 19 0 0
0-0-0-5-0-0 0 0 0 46 0 0
0-0-0-6-0-0 0 0 0 54 0 0
0-0-0-7-0-0 0 0 0 124 0 0
0-0-0-8-0-0 0 0 0 150 0 0
0-0-0-9-0-0 0 0 0 203 0 0
0-0-10-0-0-0 0 0 124 0 0 0
0-0-11-0-0-0 0 0 83 0 0 0
0-0-12-0-0-0 0 0 84 0 0 0
0-0-13-0-0-0 0 0 72 0 0 0
0-0-14-0-0-0 0 0 22 0 0 0
0-0-15-0-0-0 0 0 3 0 0 0
0-0-16-0-0-0 0 0 12 0 0 0
0-0-3-0-0-0 0 0 4 0 0 0
0-0-4-0-0-0 0 0 19 0 0 0
0-0-5-0-0-0 0 0 46 0 0 0
0-0-6-0-0-0 0 0 54 0 0 0
0-0-7-0-0-0 0 0 124 0 0 0
0-0-8-0-0-0 0 0 150 0 0 0
0-0-9-0-0-0 0 0 203 0 0 0
0-10-10-10-0-0 0 124 124 124 0 0
