	sequences per sample	iteration	sample1	sample2	sample3	sample4	sample5	sample6
alpha_rarefaction_1985_8.biom	1985	8	223.333333333	346.129032258	467.660377358	470.85	468.015873016	469.850746269
alpha_rarefaction_1985_9.biom	1985	9	223.0	344.75	467.75862069	467.714285714	469.631578947	469.803278689
alpha_rarefaction_2380_0.biom	2380	0	222.0	345.333333333	471.28125	470.216216216	470.0625	465.171428571
alpha_rarefaction_2380_1.biom	2380	1	222.0	346.909090909	468.294117647	469.516129032	468.717948718	467.125
alpha_rarefaction_2380_2.biom	2380	2	222.25	344.0	469.25	469.833333333	464.848484848	470.571428571
alpha_rarefaction_2380_3.biom	2380	3	222.375	344.130434783	468.161290323	469.666666667	469.028571429	468.941176471
alpha_rarefaction_2380_4.biom	2380	4	222.0	344.375	468.022727273	470.153846154	471.529411765	468.551724138
alpha_rarefaction_2380_5.biom	2380	5	222.5	345.352941176	471.870967742	470.137931034	470.902439024	469.71875
alpha_rarefaction_2380_6.biom	2380	6	222.090909091	345.428571429	470.243243243	468.666666667	470.785714286	470.41025641
alpha_rarefaction_2380_7.biom	2380	7	223.0	345.066666667	466.848484848	469.833333333	468.823529412	471.108108108
alpha_rarefaction_2380_8.biom	2380	8	222.0	343.230769231	468.348837209	469.357142857	469.8	467.46875
alpha_rarefaction_2380_9.biom	2380	9	222.0	344.4	470.527777778	468.363636364	469.216216216	470.565217391
alpha_rarefaction_2775_0.biom	2775	0	222.0	345.111111111	470.111111111	468.047619048	469.15	470.235294118
alpha_rarefaction_2775_1.biom	2775	1	222.0	345.142857143	469.476190476	468.142857143	469.176470588	469.058823529
alpha_rarefaction_2775_2.biom	2775	2	222.5	345.166666667	467.375	469.3	468.476190476	469.0
alpha_rarefaction_2775_3.biom	2775	3	222.0	345.0	469.272727273	469.882352941	470.05	469.3
alpha_rarefaction_2775_4.biom	2775	4	222.0	344.0	469.038461538	468.588235294	469.15	469.769230769
alpha_rarefaction_2775_5.biom	2775	5	222.0	345.75	469.066666667	469.4	469.043478261	468.0
alpha_rarefaction_2775_6.biom	2775	6	222.0	345.125	468.25	469.789473684	469.666666667	469.066666667
alpha_rarefaction_2775_7.biom	2775	7	222.0	345.0	469.043478261	469.833333333	469.3	469.833333333
alpha_rarefaction_2775_8.biom	2775	8	222.0	345.076923077	469.0625	470.363636364	469.052631579	469.882352941
alpha_rarefaction_2775_9.biom	2775	9	222.0	345.0	469.461538462	469.2	469.166666667	470.4
alpha_rarefaction_3170_0.biom	3170	0	222.0	345.0	469.0	468.0	469.142857143	469.2
alpha_rarefaction_3170_1.biom	3170	1	222.0	345.0	469.0	469.0	468.0	469.0
alpha_rarefaction_3170_2.biom	3170	2	222.0	344.0	469.0	469.0	469.0	468.125
alpha_rarefaction_3170_3.biom	3170	3	222.0	345.0	469.0	469.0	469.75	469.0
alpha_rarefaction_3170_4.biom	3170	4	222.0	345.0	468.0	469.0	469.0	469.0
alpha_rarefaction_3170_5.biom	3170	5	222.0	345.0	469.166666667	469.0	469.0	469.0
alpha_rarefaction_3170_6.biom	3170	6	222.0	345.0	469.0	469.2	469.125	468.0
alpha_rarefaction_3170_7.biom	3170	7	222.0	345.0	468.545454545	469.0	469.0	469.090909091
alpha_rarefaction_3170_8.biom	3170	8	222.0	345.0	469.1	469.0	469.0	469.0
alpha_rarefaction_3170_9.biom	3170	9	222.0	345.0	469.0	468.0	469.428571429	468.0
alpha_rarefaction_3565_0.biom	3565	0	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_1.biom	3565	1	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_2.biom	3565	2	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_3.biom	3565	3	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_4.biom	3565	4	222.0	345.0	469.0	469.0	469.0	469.0
