pc vector number	1	2	3	4	5	6
sample1	-0.255022946815	0.423364080518	-0.0205218066477	0.00661473156798	0.0472790467176	2.59759669197e-09
sample2	-0.348924394988	-0.012418892263	-0.000203435878788	-0.00511066033911	-0.152336578068	2.59759669197e-09
sample3	-0.305974357091	-0.217170405328	-0.242828995923	0.00653219095229	0.0572305800685	2.59759669197e-09
sample4	-0.312517724325	-0.168560574375	0.260676896761	-0.00405432478957	0.0571286114873	2.59759669197e-09
sample5	0.603665823792	-0.00724429864614	-0.00541219512455	-0.205141156952	-0.00156931399093	2.59759669197e-09
sample6	0.618773599427	-0.0179699099063	0.00828953681295	0.20115921956	-0.00773234621434	2.59759669197e-09


eigvals	1.1253657662	0.255342423267	0.127437559976	0.0826769064807	0.0320430107459	4.04850514448e-17
% variation explained	69.3443572879	15.7340455536	7.85262530313	5.09450092999	1.97447092535	2.49466436294e-15
